what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.papyrus.sasheditor,0.8.2.v201202150957,"org.eclipse.papyrus.sasheditor",1371581666567
started,bundle,org.eclipse.papyrus.sysml,0.8.2.v201202150957,"org.eclipse.papyrus.sysml",1371581666568
started,bundle,org.eclipse.papyrus.sysml.diagram.common,0.8.2.v201202150957,"org.eclipse.papyrus.sysml.diagram.common",1371581666569
started,bundle,org.eclipse.papyrus.sysml.diagram.internalblock,0.8.2.v201202150957,"org.eclipse.papyrus.sysml.diagram.internalblock",1371581666570
started,bundle,org.eclipse.papyrus.sysml.edit,0.8.2.v201202150957,"org.eclipse.papyrus.sysml.edit",1371581666572
started,bundle,org.eclipse.papyrus.sysml.modelexplorer,0.8.2.v201202150957,"org.eclipse.papyrus.sysml.modelexplorer",1371581666573
started,bundle,org.eclipse.papyrus.table.menu,0.8.2.v201202150957,"org.eclipse.papyrus.table.menu",1371581666574
started,bundle,org.eclipse.papyrus.ui.perspectiveconfiguration,0.8.2.v201202150957,"org.eclipse.papyrus.ui.perspectiveconfiguration",1371581666575
started,bundle,org.eclipse.papyrus.uml.menu,0.8.2.v201202150957,"org.eclipse.papyrus.uml.menu",1371581666576
started,bundle,org.eclipse.papyrus.uml.standard,0.8.2.v201202150957,"org.eclipse.papyrus.uml.standard",1371581666576
started,bundle,org.eclipse.papyrus.uml.standard.edit,0.8.2.v201202150957,"org.eclipse.papyrus.uml.standard.edit",1371581666577
started,bundle,org.eclipse.papyrus.widgets,0.8.2.v201202150957,"org.eclipse.papyrus.widgets",1371581666578
started,bundle,org.eclipse.uml2.common.edit,1.5.0.v201005031530,"org.eclipse.uml2.common.edit",1371581666579
started,bundle,org.eclipse.uml2.uml,3.2.100.v201108110105,"org.eclipse.uml2.uml",1371581666581
started,bundle,org.eclipse.uml2.uml.edit,3.1.100.v201009281840,"org.eclipse.uml2.uml.edit",1371581666584
started,bundle,org.eclipse.xtext.gmf.glue,0.8.2.v201202150957,"org.eclipse.xtext.gmf.glue",1371581666585
started,bundle,com.aptana.ide.core,2.0.5.1278523018,"com.aptana.ide.core",1371581666586
started,bundle,com.aptana.ide.core.io,2.0.5.1278614541,"com.aptana.ide.core.io",1371581666586
started,bundle,com.aptana.ide.core.ui,2.0.5.1278523018,"com.aptana.ide.core.ui",1371581666586
started,bundle,com.aptana.ide.debug.core,2.0.0.1278523018,"com.aptana.ide.debug.core",1371581666587
started,bundle,com.aptana.ide.debug.ui,2.0.0.1254164293,"com.aptana.ide.debug.ui",1371581666588
started,bundle,com.aptana.ide.desktop.integration.protocolhandler,2.0.0.1278523018,"com.aptana.ide.desktop.integration.protocolhandler",1371581666589
started,bundle,com.aptana.ide.epl,2.0.0.1278523018,"com.aptana.ide.epl",1371581666590
started,bundle,com.aptana.ide.intro,2.0.0.1278523018,"com.aptana.ide.intro",1371581666590
started,bundle,com.aptana.ide.syncing.core,2.0.5.1278614541,"com.aptana.ide.syncing.core",1371581666591
started,bundle,com.aptana.ide.syncing.ui,2.0.5.1278614541,"com.aptana.ide.syncing.ui",1371581666592
started,bundle,com.aptana.ide.update,2.0.5.1278523018,"com.aptana.ide.update",1371581666593
started,bundle,com.aptana.ide.update.eclipse34,2.0.5.1278614541,"com.aptana.ide.update.eclipse34",1371581666593
started,bundle,com.aptana.ide.update.eclipse35,2.0.5.1278614541,"com.aptana.ide.update.eclipse35",1371581666594
started,bundle,com.aptana.ide.update.eclipse36,1.0.0.1278614541,"com.aptana.ide.update.eclipse36",1371581666594
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1371581666595
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1371581666597
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1371581666597
started,bundle,org.eclipse.mylyn.github.ui,1.3.0.201202151440-r,"org.eclipse.mylyn.github.ui",1371581666598
os,sysinfo,,,"win32",1371581666602
arch,sysinfo,,,"x86_64",1371581666602
ws,sysinfo,,,"win32",1371581666602
locale,sysinfo,,,"de_DE",1371581666602
processors,sysinfo,,,"4",1371581666602
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1371581666602
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1371581666602
java.specification.name,sysinfo,,,"Java Platform API Specification",1371581666602
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1371581666602
java.specification.version,sysinfo,,,"1.6",1371581666602
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1371581666602
java.version,sysinfo,,,"1.6.0_25",1371581666602
java.vm.info,sysinfo,,,"mixed mode",1371581666602
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1371581666602
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1371581666602
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1371581666602
java.vm.specification.version,sysinfo,,,"1.0",1371581666602
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1371581666602
java.vm.version,sysinfo,,,"20.0-b11",1371581666602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371581667076
started,bundle,com.aptana.ide.desktop.integration.server,2.0.0.1278523018,"com.aptana.ide.desktop.integration.server",1371581668356
started,bundle,com.aptana.ide.installer,2.0.5.1278523018,"com.aptana.ide.installer",1371581668376
started,bundle,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors",1371581668388
started,bundle,com.aptana.ide.scripting,2.0.0.1278523018,"com.aptana.ide.scripting",1371581668390
started,bundle,com.aptana.ide.server.jetty,2.0.0.1278523018,"com.aptana.ide.server.jetty",1371581668438
